postal_code,category,number_licensed
48201,BUILDING RENOVATOR,1
A1A,AUCTIONEER,14
A1A,BUILDING RENOVATOR,3
A1A,MASTER PLUMBER,1
A1A,TAXICAB OWNER,2
B0E,AUCTIONEER,1
B3E,AUCTIONEER,1
B3S,AUCTIONEER,1
B3Z 4M9,TAXICAB OWNER,1
G1E 3M5,BUILDING RENOVATOR,1
G1N,TRANSIENT TRADER,1
G1V 0C1,BUILDING RENOVATOR,1
G1Y,TRANSIENT TRADER,1
G2B,TRANSIENT TRADER,1
G3B,AUCTIONEER,2
G3E,TRANSIENT TRADER,1
G3L,TRANSIENT TRADER,1
G7A,TRANSIENT TRADER,1
G7A 2T2,TRANSIENT TRADER,1
H2C,TAXICAB OWNER,1
H2N 1C5,BUILDING CLEANER,1
H2V,AUCTIONEER,1
H3H,TRANSIENT TRADER,1
H3R,AUCTIONEER,1
H3R,TRANSIENT TRADER,1
H3W 2C7,TAXICAB OWNER,1
H3X,AUCTIONEER,2
H3Y,TRANSIENT TRADER,1
H4M,TRANSIENT TRADER,1
H4P,AUCTIONEER,2
H4V,DRAIN LAYER,1
H4W,TAXICAB OWNER,2
H4W 1S9,TAXICAB OWNER,2
H7L 5B3,BUILDING RENOVATOR,1
H7S 1N5,BUILDING RENOVATOR,1
H7V,TRANSIENT TRADER,1
H7Y 1M7,BUILDING RENOVATOR,1
H9A,TRANSIENT TRADER,1
J0E,TRANSIENT TRADER,1
J0X,AUCTIONEER,1
J3R,MASTER PLUMBER,1
J4B 6G4,BUILDING RENOVATOR,1
J4X 1C2,BUILDING RENOVATOR,2
K0A,MOTORIZED REFRESHMENT VEHICLE OWNER,1
K0A,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
K0A 2T0,PLUMBING CONTRACTOR,1
K0C,BUILDING RENOVATOR,1
K0E 1C0,TAXICAB OWNER,3
K0G,MASTER PLUMBER,1
K0H,BUILDING RENOVATOR,2
K0H,DRIVING INSTRUCTOR (V),1
K0H,MASTER HEATING INSTALLER,1
K0H,MASTER PLUMBER,3
K0H 2H0,BUILDING RENOVATOR,1
K0H 2N0,PLUMBING & HEATING CONTRACTOR,1
K0K,BUILDING RENOVATOR,7
K0K,DRIVING INSTRUCTOR (V),1
K0K,HAWKER/PEDLAR ON FOOT,1
K0K,HEATING CONTRACTOR,1
K0K,MASTER HEATING INSTALLER,5
K0K,MASTER PLUMBER,12
K0K,MOBILE VENDING (ICE CREAM TRUCK),1
K0K,MOTORIZED REFRESHMENT VEHICLE OWNER,1
K0K,PLUMBING CONTRACTOR,1
K0K,TAXICAB OWNER,5
K0K,TOW TRUCK OWNER,1
K0K 1T0,TOW TRUCK OWNER,1
K0K 2C0,BUILDING RENOVATOR,1
K0K 2C0,HAWKER/PEDLAR WITH PUSH CART,1
K0K 2M0,BUILDING RENOVATOR,1
K0K 2M0,PLUMBING CONTRACTOR,1
K0K 2T0,TAXICAB OWNER,2
K0K 3A0,BUILDING RENOVATOR,1
K0K 3J0,BUILDING RENOVATOR,1
K0K 3J0,TAXICAB OWNER,1
K0L,BUILDING RENOVATOR,6
K0L,DRAIN CONTRACTOR,2
K0L,DRAIN LAYER,3
K0L,HAWKER/PEDLAR ON FOOT,2
K0L,MASTER HEATING INSTALLER,6
K0L,MASTER PLUMBER,10
K0L,PLUMBING CONTRACTOR,2
K0L,TAXICAB OWNER,12
K0L,TOW TRUCK OWNER,47
K0L 1C0,BUILDING RENOVATOR,1
K0L 1L0,BUILDING RENOVATOR,1
K0L 1L0,DRAIN CONTRACTOR,1
K0L 1L0,TAXICAB OWNER,2
K0L 1L0,TOW TRUCK OWNER,5
K0L 1T0,PLUMBING CONTRACTOR,2
K0L 1T0,TAXICAB OWNER,8
K0L 1V0,PLUMBING CONTRACTOR,1
K0L 1Z0,PLUMBING CONTRACTOR,1
K0L 2W0,DRAIN CONTRACTOR,1
K0L 2W0,HEATING CONTRACTOR,1
K0L 2W0,PLUMBING CONTRACTOR,1
K0L 3E0,TAXICAB OWNER,20
K0L 3G0,HEATING CONTRACTOR,1
K0M,AUCTIONEER,1
K0M,BUILDING RENOVATOR,10
K0M,COLLECTOR OF SECOND HAND GOODS,1
K0M,MASTER HEATING INSTALLER,6
K0M,MASTER PLUMBER,15
K0M,MOTORIZED REFRESHMENT VEHICLE OWNER,2
K0M,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
K0M,PEDICAB OWNER,1
K0M,PLUMBING & HEATING CONTRACTOR,1
K0M,PLUMBING CONTRACTOR,1
K0M,TAXICAB OWNER,6
K0M 1A0,BUILDING RENOVATOR,1
K0M 1A0,PLUMBING CONTRACTOR,1
K0M 1A0,TAXICAB OWNER,9
K0M 1G0,BUILDING RENOVATOR,1
K0M 1R0,BUILDING RENOVATOR,1
K0M 1S0,BUILDING RENOVATOR,1
K0M 1S0,TAXICAB OWNER,1
K0M 2B0,BUILDING RENOVATOR,1
K0M 2B0,PLUMBING CONTRACTOR,1
K0M 2C0,BUILDING RENOVATOR,1
K0M 2J0,BUILDING RENOVATOR,2
K0M 2K0,BUILDING RENOVATOR,1
K0M 2L0,TAXICAB OWNER,1
K0M 2T0,PLUMBING CONTRACTOR,1
K0V,DRIVING INSTRUCTOR (V),1
K0Y 2Y0,TOW TRUCK OWNER,1
K1G,DRIVING INSTRUCTOR (V),1
K1G,TAXICAB OWNER,1
K1G 1M1,BUILDING RENOVATOR,1
K1H,DRIVING INSTRUCTOR (V),1
K1J,HAWKER/PEDLAR ON FOOT,3
K1K,HAWKER/PEDLAR ON FOOT,1
K1L,BUILDING RENOVATOR,1
K1M 1V6,BUILDING RENOVATOR,1
K1N,AUCTIONEER,1
K1N,BUILDING RENOVATOR,1
K1R 6S3,PRIVATE PARKING ENFORCEMENT AGENCY,1
K1V,AUCTIONEER,1
K1V,MOTORIZED REFRESHMENT VEHICLE OWNER,1
K1V 7T5,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
K1Y,TAXICAB OWNER,1
K2B,DRIVING INSTRUCTOR (V),1
K2C,BUILDING RENOVATOR,1
K2C,DRIVING INSTRUCTOR (V),1
K2E 7J5,BUILDING RENOVATOR,1
K2H,HAWKER/PEDLAR ON FOOT,2
K2J,MASTER PLUMBER,1
K2J 2S1,PLUMBING CONTRACTOR,1
K2K 1L8,BUILDING RENOVATOR,1
K2L,MASTER PLUMBER,1
K2T,HAWKER/PEDLAR ON FOOT,1
K2V,DRIVING INSTRUCTOR (V),1
K4A,DRIVING INSTRUCTOR (V),1
K4L,MASTER PLUMBER,1
K4M,TAXICAB OWNER,1
K4M 0A7,BUILDING RENOVATOR,1
K6A,MASTER PLUMBER,1
K6A,PLUMBING CONTRACTOR,1
K7A,MASTER PLUMBER,2
K7A,PLUMBING CONTRACTOR,1
K7K,TAXICAB OWNER,1
K7M,AUCTIONEER,1
K7M,DRIVING INSTRUCTOR (V),2
K7N 0A2,TAXICAB OWNER,1
K7R,MASTER HEATING INSTALLER,2
K7R,MASTER PLUMBER,2
K7R,TAXICAB OWNER,3
K7R 2E8,PLUMBING CONTRACTOR,1
K7R 3K8,HEATING CONTRACTOR,1
K7R 3L2,TOW TRUCK OWNER,10
K7V,BUILDING RENOVATOR,1
K8N,BUILDING RENOVATOR,1
K8N,MASTER HEATING INSTALLER,1
K8N,MASTER PLUMBER,1
K8N,TAXICAB OWNER,1
K8N 4Z5,PLUMBING & HEATING CONTRACTOR,1
K8P,MASTER PLUMBER,1
K8P 1R4,PLUMBING CONTRACTOR,1
K8V,DRIVING INSTRUCTOR (V),1
K8V,MASTER HEATING INSTALLER,1
K9A,AUCTIONEER,1
K9A,BUILDING RENOVATOR,3
K9A,DRAIN LAYER,2
K9A,DRIVING INSTRUCTOR (V),1
K9A,TRANSIENT TRADER,1
K9A 5J3,TOW TRUCK OWNER,1
K9H,MASTER PLUMBER,2
K9H,TORONTO TAXICAB OWNER,1
K9H 5X1,BUILDING RENOVATOR,1
K9H 6G3,LIMOUSINE SERVICE COMPANY,1
K9J,BUILDING RENOVATOR,1
K9J,MASTER HEATING INSTALLER,1
K9J,MASTER PLUMBER,4
K9J,MOTORIZED REFRESHMENT VEHICLE OWNER,1
K9J,TAXICAB OWNER,1
K9J 0G5,TOW TRUCK OWNER,7
K9J 6X3,TAXICAB OWNER,1
K9K,BUILDING RENOVATOR,1
K9K,DRIVING INSTRUCTOR (V),2
K9K,TAXICAB OWNER,3
K9L,TAXICAB OWNER,2
K9L 0A9,TAXICAB OWNER,1
K9V,AUCTIONEER,1
K9V,DRAIN CONTRACTOR,1
K9V,DRAIN LAYER,1
K9V,DRIVING INSTRUCTOR (V),1
K9V,MASTER HEATING INSTALLER,1
K9V,MASTER PLUMBER,1
K9V,TAXICAB OWNER,4
K9V 3X2,TAXICAB OWNER,2
L0A,AUCTIONEER,1
L0A,BUILDING RENOVATOR,2
L0A,MASTER HEATING INSTALLER,1
L0A,MASTER PLUMBER,3
L0A 1E0,LIMOUSINE OWNER,1
L0A 1J0,BUILDING RENOVATOR,1
L0B,AUCTIONEER,1
L0B,BUILDING RENOVATOR,10
L0B,MASTER HEATING INSTALLER,4
L0B,MASTER PLUMBER,8
L0B,PLUMBING CONTRACTOR,1
L0B,TAXICAB OWNER,8
L0B 1A0,BUILDING RENOVATOR,1
L0B 1A0,PLUMBING CONTRACTOR,1
L0B 1A0,TAXICAB OWNER,2
L0B 1C0,BUILDING RENOVATOR,2
L0B 1C0,PLUMBING CONTRACTOR,1
L0B 1E0,BUILDING RENOVATOR,1
L0B 1L0,PLUMBING & HEATING CONTRACTOR,1
L0B 1M0,BUILDING RENOVATOR,2
L0B 1M0,NON-MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0C,BUILDING RENOVATOR,4
L0C,HEATING CONTRACTOR,1
L0C,MASTER HEATING INSTALLER,11
L0C,MASTER PLUMBER,8
L0C,MOTORIZED REFRESHMENT VEHICLE OWNER,1
L0C,PLUMBING & HEATING CONTRACTOR,1
L0C,PLUMBING CONTRACTOR,2
L0C,TAXICAB OWNER,1
L0C,TORONTO TAXICAB OWNER,1
L0C,TOW TRUCK OWNER,19
L0C 1A0,BUILDING RENOVATOR,1
L0C 1A0,DRIVEWAY PAVING CONTRACTOR,1
L0C 1A0,MOBILE VENDING (FOOD TRUCK),1
L0C 1A0,MOTORIZED REFRESHMENT VEHICLE OWNER,2
L0C 1A0,PLUMBING CONTRACTOR,1
L0C 1A0,TEMPORARY SIGN PROVIDER,1
L0C 1A0,TOW TRUCK OWNER,4
L0C 1E0,BUILDING RENOVATOR,1
L0C 1E0,TOW TRUCK OWNER,36
L0C 1G0,BUILDING RENOVATOR,1
L0C 1H0,BUILDING RENOVATOR,1
L0C 1H0,PLUMBING CONTRACTOR,1
L0C 1H0,TAXICAB OWNER,4
L0C 1H0,TOW TRUCK OWNER,5
L0E,BUILDING RENOVATOR,10
L0E,DRAIN LAYER,1
L0E,DRIVING INSTRUCTOR (V),2
L0E,HAWKER/PEDLAR WITH MOTOR VEHICLE,1
L0E,HEATING CONTRACTOR,2
L0E,MASTER HEATING INSTALLER,7
L0E,MASTER PLUMBER,13
L0E,MOTORIZED REFRESHMENT VEHICLE OWNER,3
L0E,PLUMBING CONTRACTOR,2
L0E,TAXICAB OWNER,5
L0E,TOW TRUCK OWNER,5
L0E 1N0,BUILDING RENOVATOR,2
L0E 1R0,BUILDING RENOVATOR,1
L0E 1R0,PLUMBING CONTRACTOR,1
L0E 1R0,TOW TRUCK OWNER,11
L0E 1S0,BUILDING RENOVATOR,1
L0E 1S0,DRIVING SCHOOL OPERATOR (B),1
L0E 1S0,PLUMBING CONTRACTOR,1
L0E 1S0,TOW TRUCK OWNER,1
L0E 1T0,BUILDING RENOVATOR,1
L0G,AUCTIONEER,3
L0G,BUILDING RENOVATOR,26
L0G,CHIMNEY REPAIRMAN,2
L0G,DRAIN CONTRACTOR,2
L0G,DRAIN LAYER,3
