Var1,Var2,Freq
ADULT ENTERTAINMENT CLUB,ADULT ENTERTAINMENT CLUB,1
BILLIARD HALL,ADULT ENTERTAINMENT CLUB,-0.0034764737958183534
BODY RUB PARLOUR,ADULT ENTERTAINMENT CLUB,-0.002858852879916167
BOWLING HOUSE,ADULT ENTERTAINMENT CLUB,-0.002194492466287414
BUILDING CLEANER,ADULT ENTERTAINMENT CLUB,-9.804041513338082e-4
BUILDING RENOVATOR,ADULT ENTERTAINMENT CLUB,0.0014841746874722287
CARNIVAL,ADULT ENTERTAINMENT CLUB,-9.804041513338082e-4
CIRCUS,ADULT ENTERTAINMENT CLUB,-9.804041513338082e-4
CLOTHING DROP BOX LOCATION PERMIT,ADULT ENTERTAINMENT CLUB,-0.010926037460616407
CLOTHING DROP BOX OPERATOR,ADULT ENTERTAINMENT CLUB,-0.0012008982591367066
COMMERCIAL PARKING LOT,ADULT ENTERTAINMENT CLUB,-0.0020659746330619227
CURB LANE CAFE,ADULT ENTERTAINMENT CLUB,-0.009060786705895102
CURBLANE VENDING,ADULT ENTERTAINMENT CLUB,-0.0015750760081111475
DRAIN CONTRACTOR,ADULT ENTERTAINMENT CLUB,-0.004405924343017232
DRIVE-SELF RENTAL OWNER,ADULT ENTERTAINMENT CLUB,-0.006631845058351398
DRIVEWAY PAVING CONTRACTOR,ADULT ENTERTAINMENT CLUB,-0.0036920672660363386
DRIVING SCHOOL OPERATOR (B),ADULT ENTERTAINMENT CLUB,-0.007220969870601582
DRIVING SCHOOL OPERATOR (V),ADULT ENTERTAINMENT CLUB,-0.0015099592899158207
EATING ESTABLISHMENT,ADULT ENTERTAINMENT CLUB,0.04381375591001479
ENTERTAINMENT ESTABLISHMENT/NIGHTCLUB,ADULT ENTERTAINMENT CLUB,0.044078527761386994
HAWKER/PEDLAR WITH MOTOR VEHICLE,ADULT ENTERTAINMENT CLUB,-6.931619481290964e-4
HEATING CONTRACTOR,ADULT ENTERTAINMENT CLUB,-0.004861912500218472
HOLISTIC CENTRE,ADULT ENTERTAINMENT CLUB,0.002136514027494221
INSULATION INSTALLER,ADULT ENTERTAINMENT CLUB,-9.804041513338082e-4
LAUNDRY,ADULT ENTERTAINMENT CLUB,-0.004787149465747956
LIMOUSINE OWNER,ADULT ENTERTAINMENT CLUB,-9.370211092969109e-4
LIMOUSINE SERVICE COMPANY,ADULT ENTERTAINMENT CLUB,-0.0019623117980726774
MARKETING DISPLAY,ADULT ENTERTAINMENT CLUB,-0.007017448691984873
MOBILE VENDING (FOOD TRUCK),ADULT ENTERTAINMENT CLUB,-0.003709879868872903
MOBILE VENDING (ICE CREAM TRUCK),ADULT ENTERTAINMENT CLUB,-0.0014866424808176563
MOTORIZED REFRESHMENT VEHICLE OWNER,ADULT ENTERTAINMENT CLUB,-0.0027467468916138418
NON-MOTORIZED REFRESHMENT VEHICLE OWNER,ADULT ENTERTAINMENT CLUB,-0.002329711763059907
PAWN SHOP,ADULT ENTERTAINMENT CLUB,-0.00445623259592754
PAYDAY LOAN,ADULT ENTERTAINMENT CLUB,0.013942802150421553
